GEOID,NAME,variable,estimate,moe,geometry
24033801404,Census Tract 8014.04; Prince George's County; Maryland,B19013_001,106509,8046,"list(list(c(-77.0415517903117, -77.041098, -77.040372554527, -77.040098, -77.039498, -77.039006, -77.0375797152565, -77.025577, -77.023056, -77.01497, -77.012772, -77.002835, -76.999023, -76.999006, -76.998717, -76.998735, -76.998444, -76.997493, -76.998103, -76.998578, -77.001956, -77.002788, -77.006488, -77.006266, -77.00604, -77.006012, -77.010334, -77.015072, -77.016291, -77.022662, -77.025228, -77.024923, -77.027712, -77.028256, -77.027383, -77.027896, -77.033327, -77.041597972585, -77.0415517903117, 
38.761037665454, 38.773313, 38.785355394851, 38.789913, 38.791113, 38.791645, 38.792777714848, 38.793198, 38.793525, 38.795514, 38.796426, 38.801405, 38.803382, 38.802004, 38.796575, 38.795034, 38.7872, 38.780329, 38.779382, 38.779293, 38.779538, 38.779985, 38.779555, 38.778569, 38.777507, 38.777306, 38.778413, 38.774156, 38.771941, 38.769912, 38.767875, 38.764891, 38.764196, 38.764697, 38.763117, 38.759783, 38.75967, 38.7597884037574, 38.761037665454)))"
24033806000,Census Tract 8060; Prince George's County; Maryland,B19013_001,91493,22626,"list(list(c(-76.971057, -76.969039, -76.968628, -76.965426, -76.96235, -76.959517, -76.951673, -76.948481, -76.948499, -76.948631, -76.950781, -76.958058, -76.958872, -76.960174, -76.96227, -76.963458, -76.966, -76.969388, -76.97025, -76.970851, -76.970784, -76.970749, -76.971057, 38.965049, 38.966906, 38.967862, 38.96728, 38.967097, 38.966971, 38.966596, 38.966431, 38.96631, 38.966133, 38.964693, 38.958819, 38.958159, 38.957157, 38.955892, 38.95613, 38.955741, 38.961567, 38.962716, 38.963261, 38.963333, 
38.963589, 38.965049)))"
24033805802,Census Tract 8058.02; Prince George's County; Maryland,B19013_001,125144,57762,"list(list(c(-76.979617, -76.979483, -76.979399, -76.978464, -76.978556, -76.977383, -76.972787, -76.971478, -76.970936, -76.971724, -76.971665, -76.972671, -76.972883, -76.968628, -76.969039, -76.971057, -76.970749, -76.970784, -76.974915, -76.979674, -76.979617, 38.972272, 38.972764, 38.974401, 38.976051, 38.978731, 38.979589, 38.984068, 38.984202, 38.978633, 38.97539, 38.973173, 38.970776, 38.969065, 38.967862, 38.966906, 38.965049, 38.963589, 38.963333, 38.966999, 38.972163, 38.972272)))"
24033803002,Census Tract 8030.02; Prince George's County; Maryland,B19013_001,74208,45522,"list(list(c(-76.901952, -76.892085, -76.894421, -76.892542, -76.886728, -76.888199, -76.888836, -76.890113, -76.899686, -76.899065, -76.900123, -76.898942, -76.899484, -76.899522, -76.900301, -76.901952, 38.907467, 38.909581, 38.907574, 38.905121, 38.902136, 38.90122, 38.900854, 38.899973, 38.897487, 38.898783, 38.901571, 38.903172, 38.903396, 38.903353, 38.903593, 38.907467)))"
24033806601,Census Tract 8066.01; Prince George's County; Maryland,B19013_001,85192,21509,"list(list(c(-76.923075, -76.922388, -76.920162, -76.920006, -76.919852, -76.91767, -76.915838, -76.908698, -76.905545, -76.906038, -76.907329, -76.908731, -76.909422, -76.909906, -76.912786, -76.915573, -76.916161, -76.919132, -76.920203, -76.921102, -76.922812, -76.92358, -76.923075, 38.955301, 38.956489, 38.958952, 38.960553, 38.960517, 38.96018, 38.96012, 38.961136, 38.961212, 38.957449, 38.955642, 38.954174, 38.953109, 38.953444, 38.953096, 38.953123, 38.953248, 38.953776, 38.95382, 38.953917, 
38.95392, 38.953955, 38.955301)))"
24033806708,Census Tract 8067.08; Prince George's County; Maryland,B19013_001,66990,10045,"list(list(c(-76.89227, -76.891295, -76.889923, -76.884734, -76.880831, -76.875534, -76.87485, -76.872859, -76.873666, -76.871035, -76.863121, -76.863743, -76.865176, -76.867425, -76.871597, -76.880908, -76.88278, -76.886331, -76.889821, -76.895228, -76.89227, 39.006165, 39.005744, 39.005396, 39.006107, 39.005891, 39.004537, 39.004138, 39.005002, 39.007252, 39.006951, 39.007224, 39.005663, 39.003033, 39.00054, 38.99793, 38.994903, 38.994023, 38.991717, 38.995896, 39.002662, 39.006165)))"
24033801211,Census Tract 8012.11; Prince George's County; Maryland,B19013_001,136270,11721,"list(list(c(-76.923922, -76.922402, -76.922093, -76.918814, -76.91562, -76.914067, -76.908665, -76.907244, -76.906809, -76.904794, -76.903825, -76.901628, -76.899744, -76.897628, -76.897047, -76.891862, -76.890364, -76.888843, -76.889793, -76.887531, -76.887113, -76.891929, -76.895343, -76.900252, -76.899835, -76.90403, -76.905705, -76.910979, -76.91071, -76.91292, -76.923696, -76.923922, 38.780864, 38.782852, 38.784551, 38.785908, 38.785906, 38.787096, 38.7884, 38.789354, 38.789627, 38.790713, 38.794604, 
38.798944, 38.795788, 38.79061, 38.787201, 38.783797, 38.78361, 38.778959, 38.778934, 38.775744, 38.774807, 38.776957, 38.775791, 38.77283, 38.777936, 38.777495, 38.780031, 38.779026, 38.780614, 38.782515, 38.77897, 38.780864)))"
24033805907,Census Tract 8059.07; Prince George's County; Maryland,B19013_001,59095,12490,"list(list(c(-76.983629, -76.982247, -76.980464, -76.97911, -76.976918, -76.974203, -76.974909, -76.977361, -76.981055, -76.982446, -76.983629, 39.002267, 39.00424, 39.006903, 39.006335, 39.006833, 39.006713, 39.003595, 39.003866, 39.004295, 39.001084, 39.002267)))"
24033803516,Census Tract 8035.16; Prince George's County; Maryland,B19013_001,148933,35947,"list(list(c(-76.840454, -76.828585, -76.823213, -76.819533, -76.813094, -76.8095, -76.808802, -76.806094, -76.797705, -76.797479, -76.798838, -76.798534, -76.808149, -76.812212, -76.818704, -76.825702, -76.835058, -76.839075, -76.839418, -76.840454, 38.949271, 38.9559, 38.955946, 38.956378, 38.957025, 38.956821, 38.956711, 38.957264, 38.961084, 38.958448, 38.953207, 38.944333, 38.946069, 38.946643, 38.946874, 38.947121, 38.947335, 38.947108, 38.948331, 38.949271)))"
24033803612,Census Tract 8036.12; Prince George's County; Maryland,B19013_001,75957,8048,"list(list(c(-76.888263, -76.887669, -76.88549, -76.884399, -76.880407, -76.878623, -76.87475, -76.873418, -76.87262, -76.872332, -76.869223, -76.867934, -76.866037, -76.864894, -76.865382, -76.869141, -76.876125, -76.876816, -76.878118, -76.880027, -76.880308, -76.880831, -76.881442, -76.885364, -76.886038, -76.888047, -76.888263, 38.948196, 38.948619, 38.951658, 38.952326, 38.952402, 38.952793, 38.954791, 38.955528, 38.955989, 38.956158, 38.957917, 38.958654, 38.959659, 38.956852, 38.956203, 38.951102, 
38.944619, 38.944048, 38.942862, 38.941458, 38.941849, 38.943433, 38.945619, 38.947378, 38.947431, 38.948006, 38.948196)))"
